name,ring,quadrant,status,description
AR spatial anchors,assess,techniques,new,"<p>Many augmented reality (AR) applications depend on knowing the location and orientation of the user's device. The default is to use GPS-based solutions, but <strong>spatial anchors</strong>, a newer technique to address this requirement, are also worth considering. Spatial anchors work with the image recorded by the device's camera, using image features and their relative position in 3D space to recognize a real-world location. For this location a corresponding anchor is created in the AR space. Although spatial anchors can't replace all GPS and marker-based anchors, they do provide more accuracy than most GPS-based solutions and are more resilient to different viewing angles than marker-based anchors. Our experience is currently limited to Google's <a href=""https://developers.google.com/ar/develop/java/cloud-anchors/overview-android"">Cloud Anchors for Android</a>, which worked well for us. Somewhat uncharacteristically Google also offers <a href=""https://developers.google.com/ar/develop/ios/cloud-anchors/quickstart"">Cloud Anchors for iOS</a> and with <a href=""https://docs.microsoft.com/en-us/azure/spatial-anchors/overview"">Azure Spatial Anchors</a> Microsoft supports even more platforms.</p>"
Hotwire,assess,techniques,no change,"<p>After successfully launching their email application <a href=""https://hey.com/"">HEY</a> as a server-side application, Basecamp <a href=""https://world.hey.com/dhh/bringing-hotwire-to-basecamp-91a442d6"">reported</a> migrating its flagship product, <a href=""https://basecamp.com/"">Basecamp 3</a>, to <strong><a href=""https://hotwire.dev/"">Hotwire</a></strong> this summer. As organizations increasingly default to single-page applications (SPAs) for new web development, we continue to be excited by Hotwire swimming against the stream. Unlike SPAs, Hotwire applications keep most of the logic and navigation on the server, relying on a minimal amount of browser JavaScript. Hotwire modularizes HTML pages into a set of components (called <a href=""https://turbo.hotwired.dev/"">Turbo Frames</a>) that can be lazy loaded, provide independent contexts and send HTML updates to those contexts based on user actions. SPAs offer undeniable user responsiveness, but the simplicity of traditional server-side web programming combined with modern browser tooling provides a refreshing take on balancing developer effectiveness and user responsiveness.</p>"
Operator pattern for nonclustered resources,assess,techniques,new,"<p>We're seeing increasing use of the <a href=""https://www.thoughtworks.com/radar/tools/kubernetes-operators"">Kubernetes Operator</a> pattern for purposes other than managing applications deployed on the cluster. Using the <strong>operator pattern for nonclustered resources</strong> takes advantage of custom resource definitions and the event-driven scheduling mechanism implemented in the Kubernetes control plane to manage activities that are related to yet outside of the cluster. This technique builds on the idea of <a href=""https://www.thoughtworks.com/radar/techniques/kube-managed-cloud-services"">Kube-managed cloud services</a> and extends it to other activities, such as continuous deployment or reacting to changes in external repositories. One advantage of this technique over a purpose-built tool is that it opens up a wide range of tools that either come with Kubernetes or are part of the wider ecosystem. You can use commands such as <code>diff</code>, <code>dry-run</code> or <code>apply</code> to interact with the operator's custom resources. Kube's scheduling mechanism makes development easier by eliminating the need to orchestrate activities in the proper order. Open-source tools such as <a href=""https://www.thoughtworks.com/radar/tools/crossplane"">Crossplane</a>, <a href=""https://fluxcd.io/"">Flux</a> and <a href=""https://www.thoughtworks.com/radar/platforms/argo-cd"">ArgoCD</a> take advantage of this technique and we expect to see more of these emerge over time.</p>"
Remote spontaneous huddling,assess,techniques,new,"<p>We're seeing continued innovation in remote collaboration tools. The new <a href=""https://slack.com/help/articles/4402059015315-Start-a-huddle-in-a-channel-or-direct-message"">Huddles</a> feature in Slack provides a Discord-like experience of persistent audio calls that users can jump in and out of at any time. <a href=""https://www.gather.town/"">Gather</a> provides a creative way to emulate a virtual office with avatars and video. IDEs provide direct collaboration features for pairing and debugging: we've previously blipped <a href=""https://www.thoughtworks.com/radar/tools/visual-studio-live-share"">Visual Studio Live Share</a> and included <a href=""https://www.thoughtworks.com/radar/tools/code-with-me"">JetBrains Code With Me</a> to the list in this edition. As tools continue to evolve modalities for collaboration in addition to video conferencing, we're increasingly seeing teams participating in <strong>remote spontaneous huddling</strong>, recreating the spontaneity of informal conversations over the intentionality of scheduling a Zoom or Microsoft Teams meeting. We don't expect to ever fully recreate the richness of face-to-face communication through digital tools, but we do see improved remote team effectiveness by giving teams multiple channels of collaboration rather than relying on one toolchain for everything.</p>"
Software Bill of Materials,assess,techniques,new,"<p>In May 2021, the U.S. White House published its <a href=""https://www.whitehouse.gov/briefing-room/presidential-actions/2021/05/12/executive-order-on-improving-the-nations-cybersecurity/"">Executive Order on Improving the Nation's Cybersecurity</a>. The document puts forward several technical mandates that relate to items we've featured in past Radars, such as <a href=""https://www.thoughtworks.com/radar/techniques/zero-trust-architecture"">zero trust architecture</a> and automated compliance scanning using <a href=""https://www.thoughtworks.com/radar/techniques/security-policy-as-code"">security policy as code</a>. Much of the document is devoted to improving the security of the software supply chain. One item in particular that caught our attention was the requirement that government software should contain a machine-readable <strong>Software Bill of Materials (SBOM)</strong>, defined as ""a formal record containing the details and supply chain relationships of various components used in building software."" In other words, it should detail not just the components shipped but also the tools and frameworks used to deliver the software. This order has the potential to usher in a new era of transparency and openness in software development. This will undoubtedly have an impact on those of us who produce software for a living. Many, if not all software products produced today contain open-source components or employ them in the build process. Often, the consumer has no way of knowing which version of which package might have an impact on the security of their product. Instead they must rely on the security alerts and patches provided by the retail vendor. This executive order will ensure that an explicit description of all components is made available to consumers, empowering them to implement their own security controls. And since the SBOM is machine-readable, those controls can be automated. We sense that this move also represents a shift toward embracing open-source software and practically addressing both the security risks and benefits that it provides.</p>"
Peer review equals pull request,hold,techniques,no change,"<p>Some organizations seem to think <strong>peer review equals pull request</strong>; they've taken the view that the only way to achieve a peer review of code is via a pull request. We've seen this approach create significant team bottlenecks as well as significantly degrade the quality of feedback as overloaded reviewers begin to simply reject requests. Although the argument could be made that this is one way to demonstrate code review ""regulatory compliance,"" one of our clients was told this was invalid since there was no evidence the code was actually read by anyone prior to acceptance. Pull requests are only one way to manage the code review workflow; we urge people to consider other approaches, especially where there is a need to coach and pass on feedback carefully.</p>"
Production data in test environments,hold,techniques,new,"<p>We continue to perceive <strong>production data in test environments</strong> as an area for concern. Firstly, many examples of this have resulted in reputational damage, for example, where an incorrect alert has been sent from a test system to an entire client population. Secondly, the level of security, specifically around protection of private data, tends to be less for test systems. There is little point in having elaborate controls around access to production data if that data is copied to a test database that can be accessed by every developer and QA. Although you <em>can</em> obfuscate the data, this tends to be applied only to specific fields, for example, credit card numbers. Finally, copying production data to test systems can break privacy laws, for example, where test systems are hosted or accessed from a different country or region. This last scenario is especially problematic with complex cloud deployments. Fake data is a safer approach, and tools exist to help in its creation. We do recognize there are reasons for <em>specific</em> elements of production data to be copied, for example, in the reproduction of bugs or for training of specific ML models. Here our advice is to proceed with caution.</p>"
Backstage,trial,platforms,no change,"<p>As the focus on improving the developer experience and efficiency increases across organizations, we're seeing <strong><a href=""https://backstage.io/"">Backstage</a></strong> rise in popularity, alongside the adoption of developer portals. These organizations are looking to support and streamline their development environments. As the number of tools and technologies increases, some form of standardization is becoming increasingly important for consistency so that developers can focus on innovation and product development instead of getting bogged down with reinventing the wheel. Backstage is an open-source developer portal platform created by Spotify. It's based on software templates, unifying infrastructure tooling and consistent and centralized technical documentation. The plugin architecture allows for extensibility and adaptability into an organization's infrastructure ecosystem. We'll be watching the new <a href=""https://backstage.io/docs/features/software-catalog/software-catalog-overview"">Backstage Service Catalog</a>, currently in alpha, which keeps track of ownership and metadata for all the software in an organization's ecosystem.</p>"
ClickHouse,trial,platforms,new,"<p><strong><a href=""https://clickhouse.com/"">ClickHouse</a></strong> is an open-source, columnar online analytical processing (OLAP) database for real-time analytics. It started as an experimental project in 2009 and since has matured into a highly performant and linearly scalable analytical database. It's efficient query processing engine together with data compression makes it suitable to run interactive queries without pre-aggregation. We've used ClickHouse and are quite impressed with its performance.</p>"
Confluent Kafka REST Proxy,trial,platforms,new,"<p>Kafka is a common default for event-driven architectures, but adapting it to legacy environments introduces an impedance mismatch. In a few cases, we've had success minimizing the legacy complexity using <a href=""https://docs.confluent.io/3.0.0/kafka-rest/docs/index.html""><strong>Confluent Kafka REST Proxy</strong></a>. The proxy allows developers to access Kafka through an HTTP interface, which is useful in environments that make using the native Kafka protocol difficult. For example, we were able to consume events emitted through SAP simply by having the SAP team invoke an HTTP POST command through a preconfigured SAP remote function call, avoiding the need to spin up a Java abstraction around SAP (and a team to manage it). The proxy is quite full-featured, although, as with any such adapter tool, we recommend caution and a clear-eyed view of the trade-offs involved. We believe the proxy is valuable when it enables legacy producers to send events, but would be careful creating event consumers through the proxy as the abstraction gets more complex. The proxy doesn't change the fact that Kafka consumers are stateful, which means that consumer instances created through the REST API are tied to a specific proxy, and the need to make an HTTP call to consume messages from a topic changes the standard semantics of Kafka eventing.</p>"
GitHub Actions,trial,platforms,moved in,"<p>Despite our cautionary advice when we last blipped it, we've seen continued enthusiasm for <strong><a href=""https://docs.github.com/en/actions"">GitHub Actions</a></strong>. What we said before still holds true: GitHub Actions is not yet a full-fledged CI/CD replacement for complex workflows. It cannot, for example, re-trigger a single job of a workflow, call other actions inside a composite action or support a shared library. Furthermore, while the ecosystem in the <a href=""https://github.com/marketplace?type=actions"">GitHub Marketplace</a> offers obvious advantages, giving third-party GitHub Actions access to your build pipeline risks sharing secrets in insecure ways (we recommend following GitHub's advice on <a href=""https://docs.github.com/en/actions/security-guides/security-hardening-for-github-actions"">security hardening</a>). Despite those concerns, the convenience of creating your build workflow directly in GitHub next to your source code is a compelling option for some teams, and <a href=""https://github.com/nektos/act"">act</a> helps you run GitHub Actions locally. As always, we recommend a clear-eyed assessment of the trade-offs, but some of our teams are happy with the simplicity of GitHub Actions.</p>"
K3s,trial,platforms,moved in,"<p><a href=""https://k3s.io/""><strong>K3s</strong></a> is a lightweight Kubernetes distribution built for IoT and edge computing. You get the benefits of a fully compliant Kubernetes but with reduced operational overhead. Its enhancements include lightweight storage backends (<a href=""https://docs.python.org/3/library/sqlite3.html"">sqlite3</a> as default instead of <a href=""https://etcd.io/"">etcd</a>), a single binary package with minimal OS dependencies and reduced memory footprint, all of which make K3s suitable for resource-constrained environments. We've used K3s in point-of-sale machines, and we're quite happy with our decision.</p>"
Mambu,trial,platforms,new,"<p><a href=""https://www.mambu.com/""><strong>Mambu</strong></a> is a SaaS cloud banking platform. It empowers customers to easily and flexibly build and change their banking and lending products. Unlike other out-of-box core banking platforms that you can only adapt with hard-coded integration, Mambu is designed for constantly changing financial offerings. It comes with an opinionated workflow, while also providing an API-driven approach to customize business logic, process and integrations. We currently have several projects using Mambu. With its cloud-based scalability and highly customizable capabilities, it's becoming one of the sensible default domain systems when building financial products.</p>"
MirrorMaker 2.0,trial,platforms,new,"<p><strong><a href=""https://cwiki.apache.org/confluence/display/KAFKA/KIP-382%3A+MirrorMaker+2.0"">MirrorMaker 2.0</a></strong> (also known as MM2), built using the Kafka Connect framework, solves many tool shortcomings of previous Kafka replication approaches. It can successfully <a href=""https://kafka.apache.org/documentation/#georeplication"">geo-replicate</a> topic data and metadata across clusters, including offsets, consumer groups and authorization command lines (ACLs). MM2 preserves partitioning and detects new topics and partitions. We appreciated the ability to stage a cluster migration over time, an approach that can be useful in migrating from an on-prem cluster to a cloud cluster. After synchronizing the topics and consumer groups, we first migrated the clients to the new cluster location, then we migrated the producers to the new location and finally turned off MM2 and decommissioned the old cluster. We've also seen MM2 used in disaster recovery and high-availability scenarios.</p>"
OPA Gatekeeper for Kubernetes,trial,platforms,new,"<p><strong><a href=""https://kubernetes.io/blog/2019/08/06/opa-gatekeeper-policy-and-governance-for-kubernetes/"">OPA Gatekeeper for Kubernetes</a></strong> is a customizable admission webhook for <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> that enforces policies executed by the <a href=""https://www.thoughtworks.com/radar/tools/open-policy-agent-opa"">Open Policy Agent (OPA)</a>. We're using this extension of the Kubernetes platform to add a security layer to clusters, providing automated governance mechanisms that ensure applications are compliant with defined policies. Our teams like it because of its customization capability; using CustomResourceDefinitions (CRD) allows us to define ConstraintTemplates and Constraints which make defining rules and the objects (e.g., deployments, jobs, cron jobs) and namespaces under evaluation an easy task.</p>"
Pulumi,trial,platforms,moved in,"<p>We've been seeing an increase in teams using <strong><a href=""https://pulumi.io/"">Pulumi</a></strong> in various organizations. Pulumi fills a gaping hole in the infrastructure coding world where <a href=""https://www.thoughtworks.com/radar/tools/terraform"">Terraform</a> maintains a firm hold. While Terraform is a tried-and-true standby, its declarative nature suffers from inadequate abstraction facilities and limited testability. Terraform is adequate when the infrastructure is entirely static, but dynamic infrastructure definitions call for a real programming language. Pulumi distinguishes itself by allowing configurations to be written in <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/typescript"">TypeScript</a>/JavaScript, <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/python-3"">Python</a> and <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/go-language"">Go</a> — no markup language or templating required. Pulumi is tightly focused on cloud-native architectures — including containers, serverless functions and data services — and provides good support for <a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a>. Recently, <a href=""https://www.thoughtworks.com/radar/platforms/aws-cloud-development-kit"">AWS CDK</a> has mounted a challenge, but Pulumi remains the only cloud-neutral tool in this area.</p>"
Sealed Secrets,trial,platforms,new,"<p><a href=""https://www.thoughtworks.com/radar/platforms/kubernetes"">Kubernetes</a> natively supports a key-value object known as a secret. However, by default, Kubernetes secrets aren't really secret. They're handled separately from other key-value data so that precautions or access control can be applied separately. There is support for encrypting secrets before they are stored in <a href=""https://etcd.io/"">etcd</a>, but the secrets start out as plain text fields in configuration files. <strong><a href=""https://github.com/bitnami-labs/sealed-secrets"">Sealed Secrets</a></strong> is a combination operator and command-line utility that uses asymmetric keys to encrypt secrets so that they can only be decrypted by the controller in the cluster. This process ensures that the secrets won't be compromised while they sit in the configuration files that define a Kubernetes deployment. Once encrypted, these files can be safely shared or stored alongside other deployment artifacts.</p>"
Vercel,trial,platforms,new,"<p>Since we first evaluated <a href=""https://www.thoughtworks.com/radar/techniques/jamstack"">JAMstack</a>, we've seen more and more web applications of this style. However, when the infrastructure for building traditional dynamic websites and back-end services is too heavy for JAMstack, our teams choose <a href=""https://vercel.com/""><strong>Vercel</strong></a>. Vercel is a cloud platform for static site hosting. More importantly, it provides a seamless workflow for developing, previewing and shipping JAMstack sites. The configuration for the deployment is quite simple. By integrating with GitHub, each code commit or pull request could trigger a new website deployment that has a URL for preview, which greatly accelerates development feedback. Vercel also uses CDN to scale and speed up production sites. It's worth mentioning that the team behind Vercel also supports another popular framework, <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/next-js"">Next.js</a>.</p>"
Weights &amp; Biases,trial,platforms,new,"<p><a href=""https://wandb.ai/""><strong>Weights &amp; Biases</strong></a> is a machine learning (ML) platform for building models faster through experiment tracking, data set versioning, visualizing model performance and model management. You can integrate it with existing ML code and quickly get live metrics, terminal logs and system statistics streamed to the dashboard for further analysis. Our teams have used Weights &amp; Biases, and we like its collaborative approach to model building.</p>"
Azure Cognitive Search,assess,platforms,new,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/search/"">Azure Cognitive Search</a></strong> provides search as a service for applications that require text search over heterogeneous content. It provides push or pull-based APIs to upload and index images, unstructured text or structured document content, with <a href=""https://docs.microsoft.com/en-us/rest/api/searchservice/create-data-source"">limitations on supported pull-based data source types</a>. It provides APIs over REST and .NET SDK to execute search queries, either using a simple query language or more powerful <a href=""https://lucene.apache.org/"">Apache Lucene</a> queries with field-scoped queries, fuzzy search, infix and suffix wildcard search and regular expression search, among other features. We've successfully used Azure Cognitive Search alongside other Azure services, including searching content uploaded from <a href=""https://azure.microsoft.com/en-us/services/cosmos-db/"">Cosmos DB</a>.</p>"
Babashka,assess,platforms,new,"<p>Even today, considering all the development and infrastructure tools at our disposal, we often reach a point where we need a script to glue several things together or to automate a recurring task. Current favorites for writing these scripts are bash and Python, but we're happy to report that there's a new, exciting option: Clojure. This is made possible with <strong><a href=""https://babashka.org/"">Babashka</a></strong>, a complete Clojure run time implemented with <a href=""https://www.thoughtworks.com/radar/platforms/graalvm"">GraalVM</a>. Babashka ships with libraries that cover most of the use cases for which you'd use a scripting tool, and loading of further libraries is possible, too. The use of GraalVM brings startup times within range of native tools, and it also makes Babashka one of the few options for a multithreaded scripting environment, for those rare cases when it's needed.</p>"
ExternalDNS,assess,platforms,new,"<p><strong><a href=""https://github.com/kubernetes-sigs/external-dns"">ExternalDNS</a></strong> synchronizes Kubernetes ingresses and services with external DNS providers, filling a hole previously filled by <a href=""https://github.com/kubernetes/kops/tree/HEAD/dns-controller"">kops dns-controller</a>, <a href=""https://github.com/linki/mate"">Zalando's Mate</a> or <a href=""https://github.com/wearemolecule/route53-kubernetes"">route53-kubernetes</a> — the last two of which have been deprecated in favor of ExternalDNS. The tool makes internal Kubernetes resources discoverable via public DNS servers, removing a sometimes manual step to update DNS records when an ingress host or service's IP address changes. It supports a huge list of DNS service providers out of the box with more being added via community support. As the old joke goes, <a href=""https://imgur.com/YKvOiA4"">it's always DNS</a>.</p>"
Konga,assess,platforms,new,"<p><a href=""https://pantsel.github.io/konga/""><strong>Konga</strong></a> is an open-source UI for administering the <a href=""https://www.thoughtworks.com/radar/tools/kong-api-gateway"">Kong API Gateway</a>, previously featured in the Radar in Trial. Our teams liked the quick setup and rich feature set that allowed them to experiment with and try out configurations easily. And the fact it's open-source software eases concerns about licensing costs.</p>"
Milvus 2.0,assess,platforms,new,"<p><a href=""https://github.com/milvus-io/milvus""><strong>Milvus 2.0</strong></a> is a cloud-native, open-source vector database built to search and manage embedding vectors generated by machine-learning models and neural networks. It supports several <a href=""https://milvus.io/docs/index_selection.md"">vector indexes</a> for approximate nearest neighbors (ANN) search across embedding vectors of audio, video, image or any unstructured data. Milvus 2.0 is a relatively new database, and we recommend you assess it for your similarity search needs.</p>"
Thought Machine Vault,assess,platforms,new,"<p>It's rare for us to feature commercial, off-the-shelf software in the Radar, much less a core banking platform. However, <strong><a href=""https://thoughtmachine.net/vault"">Thought Machine Vault</a></strong> (no connection to Thoughtworks) is an example of a product in this class designed to support good software engineering practices such as test-driven development, continuous delivery and infrastructure as code. Developers define banking products in Vault by writing smart contracts in Python code. This is distinctly different from the standard no-code approach where customization is done through graphical interfaces or proprietary configuration files or both. Because products are defined in regular Python code, developers have access to a range of tools such as test frameworks and version control to ensure that their work is safe and accurate. We wish more financial services platforms were designed with developer effectiveness in mind.</p>"
XTDB,assess,platforms,no change,"<p><a href=""https://www.xtdb.com/main/index.html""><strong>XTDB</strong></a> is an open-source document database with bitemporal graph queries. It natively supports two time axes for each record: <em>valid</em> time, when a fact occurs, and <em>transaction</em> time, when a fact is processed and recorded by the database. Support for bitemporality is beneficial in numerous scenarios, including analytical use cases executing time-aware queries; auditing historical changes to facts; supporting distributed data architectures that must guarantee globally consistent point-in-time queries such as <a href=""https://www.thoughtworks.com/radar/techniques/data-mesh"">data mesh</a>; and preserving data immutability. XTDB takes information in document form, expressed in the Extensible Data Notation (EDN) format, a subset of the Clojure language. XTDB supports graph as well as SQL queries and is extensible through a REST API layer and Kafka Connect, among other modules. We're excited to see a growth in adoption of XTDB and the addition of features such as support for transactions and SQL.</p>"
