name,ring,quadrant,isNew,hasMovedIn,hasMovedOut,description
JupyterLab,Trial,Platforms,FALSE,TRUE,FALSE,
Amundsen,Assess,Platforms,TRUE,FALSE,FALSE,
AWS Cloud Development Kit,Assess,Platforms,FALSE,FALSE,FALSE,
Backstage,Assess,Platforms,TRUE,FALSE,FALSE,
Dremio,Assess,Platforms,TRUE,FALSE,FALSE,
DuckDB,Assess,Platforms,TRUE,FALSE,FALSE,
K3s,Assess,Platforms,TRUE,FALSE,FALSE,
Materialize,Assess,Platforms,TRUE,FALSE,FALSE,
Pulumi,Assess,Platforms,FALSE,FALSE,FALSE,
Tekton,Assess,Platforms,TRUE,FALSE,FALSE,
Trust over IP stack ,Assess,Platforms,TRUE,FALSE,FALSE,
Node overload ,Hold,Platforms,FALSE,FALSE,FALSE,
Airflow,Adopt,Tools,FALSE,TRUE,FALSE,
Bitrise,Adopt,Tools,FALSE,TRUE,FALSE,
Dependabot,Adopt,Tools,FALSE,TRUE,FALSE,
Helm,Adopt,Tools,FALSE,TRUE,FALSE,
Trivy ,Adopt,Tools,FALSE,TRUE,FALSE,
Bokeh,Adopt,Tools,FALSE,TRUE,FALSE,
Concourse,Trial,Tools,FALSE,TRUE,FALSE,
Dash,Trial,Tools,TRUE,FALSE,FALSE,
jscodeshift,Trial,Tools,TRUE,FALSE,FALSE,
Kustomize,Trial,Tools,TRUE,FALSE,FALSE,
Mlflow,Trial,Tools,TRUE,FALSE,FALSE,
Pitest,Trial,Tools,FALSE,TRUE,FALSE,
Sentry,Trial,Tools,FALSE,TRUE,FALSE,
ShellCheck,Trial,Tools,TRUE,FALSE,FALSE,
Stryker,Trial,Tools,TRUE,FALSE,FALSE,
Terragrunt,Trial,Tools,FALSE,TRUE,FALSE,
tfsec,Trial,Tools,FALSE,TRUE,FALSE,
Yarn ,Trial,Tools,FALSE,FALSE,FALSE,
CML,Assess,Tools,TRUE,FALSE,FALSE,
Eleventy,Assess,Tools,TRUE,FALSE,FALSE,
Flagger,Assess,Tools,TRUE,FALSE,FALSE,
gossm,Assess,Tools,TRUE,FALSE,FALSE,
Great Expectations,Assess,Tools,TRUE,FALSE,FALSE,
k6,Assess,Tools,TRUE,FALSE,FALSE,
Katran,Assess,Tools,TRUE,FALSE,FALSE,
Kiali,Assess,Tools,TRUE,FALSE,FALSE,
LGTM,Assess,Tools,TRUE,FALSE,FALSE,
Litmus,Assess,Tools,TRUE,FALSE,FALSE,
Opacus,Assess,Tools,TRUE,FALSE,FALSE,
OSS Index,Assess,Tools,TRUE,FALSE,FALSE,
Playwright,Assess,Tools,TRUE,FALSE,FALSE,
pnpm,Assess,Tools,TRUE,FALSE,FALSE,
Sensei,Assess,Tools,TRUE,FALSE,FALSE,
Zola ,Assess,Tools,TRUE,FALSE,FALSE,
Arrow,Adopt,languages-and-frameworks,FALSE,TRUE,FALSE,
jest-when,Adopt,languages-and-frameworks,FALSE,TRUE,FALSE,
Fastify,Trial,languages-and-frameworks,TRUE,FALSE,FALSE,
Immer,Trial,languages-and-frameworks,FALSE,TRUE,FALSE,
Redux,Trial,languages-and-frameworks,FALSE,FALSE,TRUE,
Rust,Trial,languages-and-frameworks,FALSE,FALSE,FALSE,
single-spa ,Trial,languages-and-frameworks,FALSE,TRUE,FALSE,
Strikt,Trial,languages-and-frameworks,TRUE,FALSE,FALSE,
XState ,Trial,languages-and-frameworks,FALSE,TRUE,FALSE,
Babylon.js,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Blazor,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Flutter Driver,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
HashiCorp Sentinel ,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Hermes,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
io-ts,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Kedro,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
LitElement,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Mock Service Worker,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Recoil,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Snorkel,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Streamlit,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Svelte,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
SWR,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
Testing Library ,Assess,languages-and-frameworks,TRUE,FALSE,FALSE,
