name,ring,quadrant,isNew,status,description
GWT,hold,platforms,TRUE,new,"Google Web Toolkit (GWT) offers an interesting premise: write Swing-like Java code and generate unit testable JavaScript widgets and user interfaces. From a practical standpoint this doesn’t work well. First, using code-gen to produce the artifacts is time consuming, artificially extending build times and requiring manual changes to obtain optimal package layout. Second, if the JavaScript doesn’t behave exactly as you want you will have to hack the generated code. Third, using Java to generate JavaScript means that you can’t take direct advantage of the powerful features of JavaScript or numerous libraries such as JQuery. Finally, the JUnit support is quite limited, for example code using reflection cannot be tested."
IE8,hold,platforms,FALSE,no change,""
RIA,hold,platforms,FALSE,moved out,""
WS-*,hold,platforms,TRUE,new,""
ASP,adopt,tools,FALSE,no change,""
Squid,adopt,tools,TRUE,new,"This tool was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view."
Subversion,adopt,tools,FALSE,moved in,""
Distributed version control,trial,tools,FALSE,no change,"Subversion moves back into the Adopt section of the radar because it is a solid version control tool suitable for most teams. We consider Subversion’s features to be the basic standard for a modern version control tool. Thoughtworkers continue to embrace and recommend Distributed Version Control tools such as Git and Mercurial, but we caution that these systems often require deeper understanding to get the most out of them. New to the radar is GitHub, a “social coding” tool supporting both source code hosting and social networking. GitHub is arguably one of the main reasons Git has become the leading DVCS tool, and GitHub’s collaboration features are often used by enterprises that need to support distributed teams."
Message buses without smarts,trial,tools,TRUE,new,""
Next-generation test tools,trial,tools,FALSE,moved in,""
Cross mobile platforms,assess,tools,TRUE,new,""
GitHub,assess,tools,TRUE,new,""
NoSQL,assess,tools,TRUE,new,""
Restfulie,assess,tools,TRUE,new,""
Visualizations for business data,assess,tools,TRUE,new,"This tool was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view."
ESB,hold,tools,TRUE,new,""
Language workbenches,hold,tools,FALSE,no change,"It is likely that test languages will continue to evolve with the assistance of language workbenches, tools that assist in the creation of domain specific languages. Tools such as Jetbrains’ MPS and Intentional Software’s offering are leading the industry in this area. Both provide ways of creating new languages to map business software more closely to the end user’s domain language."
C# 4.0,adopt,languages-and-frameworks,FALSE,moved in,""
JavaScript as a first class language,adopt,languages-and-frameworks,FALSE,no change,""
Domain-Specific Languages,trial,languages-and-frameworks,FALSE,no change,""
Groovy,trial,languages-and-frameworks,TRUE,new,""
Clojure,assess,languages-and-frameworks,TRUE,new,"In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010."
F#,assess,languages-and-frameworks,TRUE,new,"In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010."
HTML 5,assess,languages-and-frameworks,FALSE,no change,"HTML 5 offers a large number of improvements over HTML 4 and XHTML 1.0. Many of these improvements are focused on providing support for developing complex web applications, and improving integration of rich content such as audio and video in standard ways. Features such as client-side storage, web sockets and offline use will further establish the position of the web browser as a viable enterprise application platform."
Java language end of life,assess,languages-and-frameworks,FALSE,no change,""
Scala, the good parts,assess,languages-and-frameworks,TRUE,new,"In the previous radar, we lumped functional languages together in a group. For this version, we’ve exploded that group and started calling out the ones interesting to us. Of the current crop of functional languages, the one we like the most is Clojure: a simple, elegant implementation of Lisp on the JVM. The other two that we fi nd interesting are Scala (a re-thinking of Java in functional form) and F#, the OCaml derivative from Microsoft that now appears “in the box” in Visual Studio 2010."
